url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~saint-constant/18176617?view=Summary&uc=2,45.37616298,-73.56694754,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEE899D11EE8AFD1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1967,"2,000 sqft",,Commercial (1),,,,,,,,"Shopping centre, Variety store, Caterer, Photo studio, Locksmith, Pet grooming, Beauty salon, Hairdresser, Fast food, Pastry shop, Painting/Wallpaper, Dry-cleaning, Lingerie, Massotherapy, Florist, Driving school, Ice cream shop, Deli/Cheese shop, Health centre, Laundromat, Office, Boutique, Accounting, Clinic, Workshop, Household appliances, Travel agency",,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/16146592?view=Summary&uc=2,45.51442768,-73.57188779,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D65D1DD6AAD8DD12&t=pi&w=1024&h=1024&sm=c,Commercial only,Unknown age,"1,650 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/16132910?view=Summary&uc=2,46.358369,-72.592923,https://mspublic.centris.ca/media.ashx?id=ADDD250D46BEAAADD6A4945D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1990,"1,183 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/26040148?view=Summary,45.5030838,-73.55609564,https://mspublic.centris.ca/media.ashx?id=ADDD250D456077BD1B3E0ECD14&t=pi&w=1024&h=1024&sm=c,Commercial only,1865,"2,017 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/27836203?view=Summary,45.5064,-73.570587,https://mspublic.centris.ca/media.ashx?id=ADDD250D45B506AD18B9649D10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/11132829?view=Summary,45.49669301,-73.57493336,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0F8FDD8F36F3D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/industrial-buildings~for-rent~dorval/28689524?view=Summary&uc=2,45.45231053,-73.72619704,https://mspublic.centris.ca/media.ashx?id=ADDD250D457AEF0D19E7C0CD11&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"3,550 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lachenaie-terrebonne/9757542?view=Summary&uc=2,45.717925,-73.656266,https://mspublic.centris.ca/media.ashx?id=ADDD250D491E6D0DDFC52AAD1B&t=pi&w=1024&h=1024&sm=c,Commercial only,2002,193 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~salaberry-de-valleyfield/28540931?view=Summary&uc=2,45.25102728,-74.12792613,https://mspublic.centris.ca/media.ashx?id=ADDD250D499BA4AD192BDD2D10&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1962,"25,000 sqft","25,000 sqft",Industrial (1),,"58,749 sqft",,,,,,Other,,,
https://www.centris.ca/en/commercial-buildings~for-rent~cote-des-neiges-notre-dame-de-grace-montreal/26617449?view=Summary&uc=2,45.470719,-73.615503,https://mspublic.centris.ca/media.ashx?id=ADDD250D46BA541D1FA4AAFD1E&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,100 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~rouyn-noranda/22900251?view=Summary&uc=2,48.22133519,-79.02800355,https://mspublic.centris.ca/media.ashx?id=ADDD250D45967CBD1E3A519D1D&t=pi&w=1024&h=1024&sm=c,Industrial only,,"3,200 sqft","1,600 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/15972779?view=Summary,45.517353,-73.561401,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D6F0E9DD629F89D1E&t=pi&w=1024&h=1024&sm=c,Residential only,"1885, Century",,"1,184 sqft",Residential (3),Attached,"1,621 sqft",,"2 x 4 ½, 1 x 5 ½","5 rooms, 2 bedrooms, 1 bathroom/powder room","$38,280",,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17548392?view=Summary,45.502162,-73.560182,https://mspublic.centris.ca/media.ashx?id=ADDD250D456906DD1D97CABD14&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/28808196?view=Summary&uc=2,45.477759,-73.585638,https://mspublic.centris.ca/media.ashx?id=ADDD250D214F8EBD190FCDCD14&t=pi&w=1024&h=1024&sm=c,Offices only,1893,309 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-buildings~for-rent~chelsea/18342322?view=Summary&uc=2,45.502944,-75.807402,https://mspublic.centris.ca/media.ashx?id=ADDD250D4698D54D1105194D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","4,271 sqft",,Commercial (1),,"43,003 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/20027093?view=Summary,45.499919,-73.577423,https://mspublic.centris.ca/media.ashx?id=ADDD250D433C2A4D121FA3ED1A&t=pi&w=1024&h=1024&sm=c,commercial with possibility convert to residential,1900,"From 1,200 sqft to 4,500 sqft",,Commercial (2),,"2,028 sqft",,,,,,.,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/21817873?view=Summary,45.51467736,-73.56373434,https://mspublic.centris.ca/media.ashx?id=ADDD250D43CEF21D1C75811D14&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1961,,,"Residential (7), Commercial (2)",,"3,810 sqft",,"3 x 3 ½, 3 x 4 ½, 1 x 6 ½","4 rooms, 2 bedrooms, 1 bathroom/powder room","$143,496",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hyacinthe/12200207?view=Summary&uc=2,45.60486613,-72.98036917,https://mspublic.centris.ca/media.ashx?id=ADDD250D45621BADD984FD6D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,100 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/17565685?view=Summary&uc=2,45.530507,-73.563529,https://mspublic.centris.ca/media.ashx?id=ADDD250D4631F06D1D7D06ED11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,100 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rock-forest-saint-elie-deauville-sherbrooke/13427720?view=Summary&uc=2,45.39395984,-72.00596094,https://mspublic.centris.ca/media.ashx?id=ADDD250D40C82DEDD775CDBD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"From 1,275 sqft to 2,550 sqft",,"Commercial (1), Office (1)",,,,,,,,"Pet shop, Butcher shop, Bakery, Boutique, Grocery store, Florist, Fruits and vegetables, Pharmacy, Restaurant, Beauty salon",,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/12082487?view=Summary&uc=2,45.29869928,-73.25420775,https://mspublic.centris.ca/media.ashx?id=ADDD250D49F6EE6DD9BE320D1B&t=pi&w=1024&h=1024&sm=c,Commercial only,,"19,500 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~blainville/13336710?view=Summary&uc=2,45.67186092,-73.90010659,https://mspublic.centris.ca/media.ashx?id=ADDD250D21178BCDD79BDBAD1A&t=pi&w=1024&h=1024&sm=c,Industrial and offices,2010,"4,004 sqft","4,004 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-rent~lachine-montreal/21250970?view=Summary&uc=2,45.447443,-73.654511,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B8FFA0D1CCC2F8D1C&t=pi&w=1024&h=1024&sm=c,,,,,,,"50,000 sqft",,,,,Industrial,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/13912587?view=Summary,45.52931606,-73.56038917,https://mspublic.centris.ca/media.ashx?id=ADDD250D46699A9DD3CC8D9D12&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1940,"2,210 sqft",,"Residential (2), Commercial (1)",Attached,"1,430 sqft",,"1 x 6 ½, 1 x 7 ½","6 rooms, 4 bedrooms, 1 bathroom/powder room","$56,340",,,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/11815036?view=Summary&uc=2,46.360607,-72.591584,https://mspublic.centris.ca/media.ashx?id=ADDD250D21116EADD9CCB07D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,300 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/14382187?view=Summary&uc=2,45.524179,-73.583853,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF68E6DD390CA9D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,"Under construction, New","From 1,421 sqft to 2,885 sqft",,Commercial (2),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/12658683?view=Summary,45.536944,-73.622678,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DB268EDD714069D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2006,800 sqft,759 sqft,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/28126161?view=Summary,45.49406404,-73.5782789,https://mspublic.centris.ca/media.ashx?id=ADDD250D46454E5D1834931D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~rouyn-noranda/21030840?view=Summary&uc=2,48.259507,-79.018648,https://mspublic.centris.ca/media.ashx?id=ADDD250D492CE19D1CD509BD1C&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"4,384 sqft","3,312 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hubert-longueuil/17330965?view=Summary&uc=2,45.51053256,-73.43612434,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA3835D1DB021ED1A&t=pi&w=1024&h=1024&sm=c,Offices only,2007,98 sqft,,Office (1),,"20,441 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/24785478?view=Summary&uc=2,45.33235839,-73.26723676,https://mspublic.centris.ca/media.ashx?id=ADDD250D437BD5DD10824CAD1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1974,"1,586 sqft",,Commercial (1),,"32,916 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sorel-tracy/17269465?view=Summary&uc=2,46.043641,-73.104236,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF8251D1D0B43FD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1988,"2,217 sqft","9,216 sqft",Commercial (1),,"24,608 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-leonard-montreal/11096122?view=Summary&uc=2,45.606568,-73.594113,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D28167DD8FED28D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,458 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/22216635?view=Summary&uc=2,45.522995,-73.603868,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA1D61D1E46699D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,,"9,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/23902536?view=Summary,45.522094,-73.565208,https://mspublic.centris.ca/media.ashx?id=ADDD250D48F50F2D1A79FCBD10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Convenience store,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/17687806?view=Summary&uc=2,45.537411,-73.578969,https://mspublic.centris.ca/media.ashx?id=ADDD250D43A9A84D1D35C65D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"6,700 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/28701561?view=Summary&uc=2,45.67564485,-73.9361511,https://mspublic.centris.ca/media.ashx?id=ADDD250D434C3A4D19E620FD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","1,000 sqft",,Commercial (1),,,,,,,,"Travel agency, Butcher shop, Gift shop, Clinic, Laundromat, Candy/Chocolate shop, Decoration, Bookstore, Dry-cleaning, Hairdresser - Men's",,,
https://www.centris.ca/en/commercial-units~for-rent~le-gardeur-repentigny/15818502?view=Summary&uc=2,45.76188755,-73.45873254,https://mspublic.centris.ca/media.ashx?id=ADDD250D40BAC10DD61E6DAD1E&t=pi&w=1024&h=1024&sm=c,Commercial only,1990,"1,770 sqft",,Commercial (1),,,,,,,,"Travel agency, Jewellery store, Butcher shop, Bakery, Laundromat, Deli/Cheese shop, Shoe repair shop, Candy/Chocolate shop, Ice cream shop, Florist, Dry-cleaning, Pastry shop",,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13857425?view=Summary,45.49778332,-73.57878944,https://mspublic.centris.ca/media.ashx?id=ADDD250D45BF0A8DD3204F1D1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Convenience store,,,
